"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"vax-dose","vax-dose","","","",0,*,"","","","null {[]} {[]}
","Dose of a Vaccine","Detailed information about each vaccination dose.","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"vax-dose.index","vax-dose.index","","","",0,1,"","","","integer {[]} {[]}
","Index of the dose in the vaccination series.","Index of the dose in the vaccination series.","","","","","","","","","",,,,,"",,,,"vax-dose.index",0,1,"",""
"vax-dose.inadvertent","vax-dose.inadvertent","","","",0,1,"","","","boolean {[]} {[]}
","If the vaccine was administered inadvertently.","If the vaccine was administered inadvertently.","","","","","","","","","",,,,,"",,,,"vax-dose.inadvertent",0,1,"",""
"vax-dose.validAgeReason","vax-dose.validAgeReason","","","",0,1,"","","","code {[]} {[]}
","A reason related to the valid age for vaccine administration.","A reason related to the valid age for vaccine administration.","","","","","","","","","",,,,,"",,,,"vax-dose.validAgeReason",0,1,"",""
"vax-dose.preferredInterval","vax-dose.preferredInterval","","","",0,1,"","","","string {[]} {[]}
","If there was a preferred interval followed.","If there was a preferred interval followed.","","","","","","","","","",,,,,"",,,,"vax-dose.preferredInterval",0,1,"",""
"vax-dose.preferredIntervalReason","vax-dose.preferredIntervalReason","","","",0,1,"","","","code {[]} {[]}
","Reason why a preferred interval was followed.","Reason why a preferred interval was followed.","","","","","","","","","",,,,,"",,,,"vax-dose.preferredIntervalReason",0,1,"",""
"vax-dose.allowedInterval","vax-dose.allowedInterval","","","",0,1,"","","","string {[]} {[]}
","If the interval was allowed despite being non-standard.","If the interval was allowed despite being non-standard.","","","","","","","","","",,,,,"",,,,"vax-dose.allowedInterval",0,1,"",""
"vax-dose.allowedIntervalReason","vax-dose.allowedIntervalReason","","","",0,1,"","","","code {[]} {[]}
","Reason why an interval was allowed despite being non-standard.","Reason why an interval was allowed despite being non-standard.","","","","","","","","","",,,,,"",,,,"vax-dose.allowedIntervalReason",0,1,"",""
"vax-dose.conflict","vax-dose.conflict","","","",0,1,"","","","boolean {[]} {[]}
","If there was a conflict with another vaccine.","If there was a conflict with another vaccine.","","","","","","","","","",,,,,"",,,,"vax-dose.conflict",0,1,"",""
"vax-dose.conflictReason","vax-dose.conflictReason","","","",0,1,"","","","string {[]} {[]}
","Reason for the conflict.","Reason for the conflict.","","","","","","","","","",,,,,"",,,,"vax-dose.conflictReason",0,1,"",""
"vax-dose.preferredVaccine","vax-dose.preferredVaccine","","","",0,1,"","","","boolean {[]} {[]}
","If this vaccine is preferred.","If this vaccine is preferred.","","","","","","","","","",,,,,"",,,,"vax-dose.preferredVaccine",0,1,"",""
"vax-dose.preferredVaccineReason","vax-dose.preferredVaccineReason","","","",0,1,"","","","code {[]} {[]}
","Reason why this vaccine is preferred.","Reason why this vaccine is preferred.","","","","","","","","","",,,,,"",,,,"vax-dose.preferredVaccineReason",0,1,"",""
"vax-dose.allowedVaccine","vax-dose.allowedVaccine","","","",0,1,"","","","boolean {[]} {[]}
","If this vaccine was allowed.","If this vaccine was allowed.","","","","","","","","","",,,,,"",,,,"vax-dose.allowedVaccine",0,1,"",""
"vax-dose.allowedVaccineReason","vax-dose.allowedVaccineReason","","","",0,1,"","","","code {[]} {[]}
","Reason why this vaccine was allowed.","Reason why this vaccine was allowed.","","","","","","","","","",,,,,"",,,,"vax-dose.allowedVaccineReason",0,1,"",""
"vax-dose.evalStatus","vax-dose.evalStatus","","","",0,1,"","","","code {[]} {[]}
","Evaluation status of the vaccination.","Evaluation status of the vaccination.","","","","","","","","","",,,,,"",,,,"vax-dose.evalStatus",0,1,"",""
"vax-dose.evalReason","vax-dose.evalReason","","","",0,1,"","","","code {[]} {[]}
","Reason for the evaluation status.","Reason for the evaluation status.","","","","","","","","","",,,,,"",,,,"vax-dose.evalReason",0,1,"",""
"vax-dose.targetDoseSatisfied","vax-dose.targetDoseSatisfied","","","",0,1,"","","","integer {[]} {[]}
","Index of the target dose satisfied by this administration.","Index of the target dose satisfied by this administration.","","","","","","","","","",,,,,"",,,,"vax-dose.targetDoseSatisfied",0,1,"",""
